      0	       15200
      1	       15185
      2	       15194
      3	       15194
      4	       15194
      5	       15196
      6	       15188
      7	       15189
      8	       15195
      9	       15187
     10	       15196
     11	       15189
     12	       15195
     13	       15189
     14	       15191
     15	       15190
     16	       15193
     17	       15190
     18	       15194
     19	       15190
     20	       15192
     21	       15193
     22	       15192
     23	       15196
     24	       15196
     25	       15192
     26	       15192
     27	       15190
     28	       15193
     29	       15200
     30	       15190
     31	       15193
     32	       15187
     33	       15198
     34	       15198
     35	       15195
     36	       15193
     37	       15193
     38	       15186
     39	       15193
     40	       15192
     41	       15198
     42	       15193
     43	       15193
     44	       15193
     45	       15190
     46	       15195
     47	       15193
     48	       15197
     49	       15192
     50	       15193
     51	       15196
     52	       15195
     53	       15194
     54	       15191
     55	       15195
     56	       15193
     57	       15195
     58	       15192
     59	       15192
     60	       15195
     61	       15191
     62	       15189
     63	       15196
     64	       15195
     65	       15197
     66	       15190
     67	       15192
     68	       15193
     69	       15191
     70	       15193
     71	       15198
     72	       15194
     73	       15191
     74	       15193
     75	       15189
     76	       15192
     77	       15194
     78	       15191
     79	       15191
     80	       15191
     81	       15188
     82	       15193
     83	       15190
     84	       15193
     85	       15193
     86	       15196
     87	       15190
     88	       15193
     89	       15188
     90	       15195
     91	       15190
     92	       15193
     93	       15193
     94	       15198
     95	       15194
     96	       15189
     97	       15189
     98	       15197
     99	       15189
    100	       15196
    101	       15188
    102	       15194
    103	       15189
    104	       15191
    105	       15194
    106	       15196
    107	       15193
    108	       15195
    109	       15193
    110	       15193
    111	       15192
    112	       15192
    113	       15195
    114	       15195
    115	       15187
    116	       15199
    117	       15195
    118	       15189
    119	       15193
    120	       15197
    121	       15191
    122	       15189
    123	       15194
    124	       15195
    125	       15198
    126	       15195
    127	       15192
    128	       15197
    129	       15184
    130	       15189
    131	       15199
    132	       15190
    133	       15189
    134	       15192
    135	       15192
    136	       15187
    137	       15194
    138	       15193
    139	       15195
    140	       15198
    141	       15190
    142	       15192
    143	       15196
    144	       15190
    145	       15187
    146	       15193
    147	       15193
    148	       15189
    149	       15191
    150	       15194
    151	       15188
    152	       15189
    153	       15187
    154	       15195
    155	       15195
    156	       15192
    157	       15190
    158	       15201
    159	       15189
    160	       15192
    161	       15194
    162	       15191
    163	       15188
    164	       15191
    165	       15194
    166	       15189
    167	       15188
    168	       15199
    169	       15193
    170	       15188
    171	       15195
    172	       15196
    173	       15194
    174	       15193
    175	       15194
    176	       15195
    177	       15190
    178	       15192
    179	       15188
    180	       15191
    181	       15193
    182	       15191
    183	       15197
    184	       15196
    185	       15192
    186	       15194
    187	       15191
    188	       15196
    189	       15189
    190	       15197
    191	       15187
    192	       15191
    193	       15194
    194	       15190
    195	       15193
    196	       15194
    197	       15190
    198	       15192
    199	       15189
    200	       15200
    201	       15195
    202	       15190
    203	       15191
    204	       15192
    205	       15187
    206	       15190
    207	       15189
    208	       15194
    209	       15192
    210	       15195
    211	       15194
    212	       15192
    213	       15196
    214	       15190
    215	       15196
    216	       15195
    217	       15193
    218	       15190
    219	       15190
    220	       15188
    221	       15191
    222	       15195
    223	       15191
    224	       15192
    225	       15196
    226	       15194
    227	       15192
    228	       15191
    229	       15191
    230	       15195
    231	       15195
    232	       15190
    233	       15186
    234	       15188
    235	       15189
    236	       15197
    237	       15193
    238	       15191
    239	       15191
    240	       15200
    241	       15194
    242	       15194
    243	       15193
    244	       15194
    245	       15188
    246	       15195
    247	       15188
    248	       15193
    249	       15192
    250	       15188
    251	       15190
    252	       15196
    253	       15192
    254	       15197
    255	       15189
    256	       15191
    257	       15190
    258	       15197
    259	       15189
    260	       15191
    261	       15194
    262	       15192
    263	       15191
    264	       15192
    265	       15189
    266	       15190
    267	       15193
    268	       15192
    269	       15193
    270	       15191
