0,	8093,	
1,	8093,	
2,	8095,	
3,	8089,	
4,	8090,	
5,	8093,	
6,	8096,	
7,	8086,	
8,	8088,	
9,	8090,	
10,	8098,	
11,	8094,	
12,	8094,	
13,	8086,	
14,	8092,	
15,	8090,	
16,	9090,	
17,	10785,	
18,	12490,	
19,	14222,	
20,	15961,	
21,	16383,	
22,	16383,	
23,	16383,	
24,	16383,	
25,	16383,	
26,	16383,	
27,	16383,	
28,	16383,	
29,	16383,	
30,	16383,	
31,	16383,	
32,	16383,	
33,	16383,	
34,	16383,	
35,	16383,	
36,	16383,	
37,	16383,	
38,	16383,	
39,	16383,	
40,	16383,	
41,	16383,	
42,	16383,	
43,	14795,	
44,	13068,	
45,	11326,	
46,	9575,	
47,	8433,	
48,	8338,	
49,	8286,	
50,	8243,	
51,	8219,	
52,	8199,	
53,	8186,	
54,	8166,	
55,	8161,	
56,	8154,	
57,	8147,	
58,	8138,	
59,	8131,	
60,	8128,	
61,	8120,	
62,	8128,	
63,	8118,	
64,	8114,	
65,	8114,	
66,	8105,	
67,	8101,	
68,	8107,	
69,	8100,	
70,	8094,	
71,	8098,	
72,	8102,	
73,	8096,	
74,	8089,	
75,	8091,	
76,	8093,	
77,	8094,	
78,	8086,	
79,	8086,	
80,	8092,	
81,	8083,	
82,	8085,	
83,	8089,	
84,	8095,	
85,	8085,	
86,	8087,	
87,	8087,	
88,	8078,	
89,	8081,	
90,	8080,	
91,	8087,	
92,	8080,	
93,	8088,	
94,	8087,	
95,	8086,	
96,	8087,	
97,	8082,	
98,	8087,	
99,	8089,	
100,	8085,	
101,	8083,	
102,	8089,	
103,	8083,	
104,	8083,	
105,	8087,	
106,	8083,	
107,	8083,	
108,	8081,	
109,	8084,	
110,	8084,	
111,	8092,	
112,	8082,	
113,	8081,	
114,	8084,	
115,	8083,	
116,	8086,	
117,	8083,	
118,	8083,	
119,	8080,	
120,	8087,	
121,	8089,	
122,	8084,	
123,	8085,	
124,	8089,	
125,	8086,	
126,	8085,	
127,	8089,	
128,	8087,	
129,	8091,	
130,	8087,	
131,	8086,	
132,	8085,	
133,	8085,	
134,	8087,	
135,	8083,	
136,	8090,	
137,	8087,	
138,	8089,	
139,	8088,	
140,	8098,	
141,	8089,	
142,	8094,	
143,	8094,	
144,	8089,	
145,	8091,	
146,	8086,	
147,	8088,	
148,	8095,	
149,	8089,	
150,	8086,	
151,	8088,	
152,	8095,	
153,	8085,	
154,	8089,	
155,	8091,	
156,	8093,	
157,	8090,	
158,	8094,	
159,	8088,	
160,	8094,	
161,	8090,	
162,	8088,	
163,	8093,	
164,	8090,	
165,	8089,	
166,	8087,	
167,	8090,	
168,	8092,	
169,	8096,	
170,	8087,	
171,	8088,	
172,	8092,	
173,	8095,	
174,	8089,	
175,	8090,	
176,	8089,	
177,	8091,	
178,	8099,	
179,	8093,	
180,	8091,	
181,	8091,	
182,	8095,	
183,	8095,	
184,	8090,	
185,	8090,	
186,	8091,	
187,	8092,	
188,	8092,	
189,	8087,	
190,	8093,	
191,	8088,	
192,	8100,	
193,	8088,	
194,	8092,	
195,	8094,	
196,	8095,	
197,	8090,	
198,	8089,	
199,	8100,	
200,	8090,	
201,	8094,	
202,	8088,	
203,	8097,	
204,	8091,	
205,	8095,	
206,	8094,	
207,	8093,	
208,	8098,	
209,	8091,	
210,	8088,	
211,	8092,	
212,	8093,	
213,	8093,	
214,	8097,	
215,	8089,	
216,	8095,	
217,	8100,	
218,	8097,	
219,	8091,	
220,	8090,	
221,	8092,	
222,	8103,	
223,	8092,	
224,	8096,	
225,	8093,	
226,	8093,	
227,	8097,	
228,	8096,	
229,	8093,	
230,	8090,	
231,	8097,	
232,	8095,	
233,	8100,	
234,	8094,	
235,	8098,	
236,	8098,	
237,	8095,	
238,	8091,	
239,	8089,	
240,	8096,	
241,	8096,	
242,	8100,	
243,	8097,	
244,	8093,	
245,	8099,	
246,	8096,	
247,	8093,	
248,	8097,	
249,	8099,	
250,	8095,	
251,	8092,	
252,	8093,	
253,	8096,	
254,	8098,	
255,	8093,	
256,	8094,	
257,	8103,	
258,	8093,	
259,	8098,	
260,	8097,	
261,	8095,	
262,	8089,	
263,	8094,	
264,	8089,	
265,	8100,	
266,	8095,	
267,	8091,	
268,	8096,	
269,	8087,	
270,	8096,	
271,	8096,	
272,	8094,	
273,	8093,	
274,	8096,	
275,	8100,	
276,	8090,	
277,	8093,	
278,	8089,	
279,	8097,	
280,	8093,	
281,	8098,	
282,	8097,	
283,	8096,	
284,	8100,	
285,	8099,	
286,	8104,	
287,	8096,	
288,	8092,	
289,	8096,	
290,	8088,	
291,	8097,	
292,	8099,	
293,	8102,	
294,	8093,	
295,	8094,	
296,	8095,	
297,	8096,	
298,	8099,	
299,	8096,	
300,	8097,	
301,	8096,	
302,	8094,	
303,	8099,	
304,	8086,	
305,	8085,	
306,	8098,	
307,	8092,	
308,	8098,	
309,	8099,	
310,	8088,	
311,	8094,	
312,	8093,	
313,	8091,	
314,	8091,	
315,	8098,	
316,	8097,	
317,	8097,	
318,	8102,	
319,	8095,	
